DATE,TOTAL_POINTS
2021-03-06,105336612
2021-03-07,69959292
2021-03-08,81460230
2021-03-09,77060296
2021-03-10,85521344
2021-03-11,90180474
2021-03-12,107279379
2021-03-13,115229266
2021-03-14,61799470
2021-03-15,87276410
2021-03-16,78844412
2021-03-17,78509690
2021-03-18,87503135
2021-03-19,96474195
2021-03-20,101159036
2021-03-21,65860744
2021-03-22,84628112
2021-03-23,76715724
2021-03-24,86532044
2021-03-25,91205240
2021-03-26,108230490
2021-03-27,110850212
2021-03-28,87324406
2021-03-29,108126658
2021-03-30,100769808
2021-03-31,116520792
2021-04-01,136706488
2021-04-02,123179386
2021-04-03,112402518
2021-04-04,29682414
2021-04-05,93425409
2021-04-06,80190798
2021-04-07,75888732
2021-04-08,87162210
2021-04-09,84316449
2021-04-10,93524356
2021-04-11,62982939
2021-04-12,82535094
2021-04-13,74306782
2021-04-14,77919472
2021-04-15,85015559
2021-04-16,91027458
2021-04-17,86813848
2021-04-18,63077832
2021-04-19,82687481
2021-04-20,74404814
2021-04-21,78207238
2021-04-22,82894725
2021-04-23,89834230
2021-04-24,94711964
2021-04-25,65867489
2021-04-26,88012196
2021-04-27,81734285
2021-04-28,83648803
2021-04-29,94835578
2021-04-30,98328330
2021-05-01,102249878
2021-05-02,63292966
2021-05-03,91507568
2021-05-04,76672662
2021-05-05,79573950
2021-05-06,82223508
2021-05-07,109119122
2021-05-08,111641590
2021-05-09,69917258
2021-05-10,91641408
2021-05-11,77949172
2021-05-12,77699834
2021-05-13,84528286
2021-05-14,90113533
2021-05-15,98587816
2021-05-16,63776644
2021-05-17,77651624
2021-05-18,72387541
2021-05-19,75554188
2021-05-20,81343292
2021-05-21,87466672
2021-05-22,92615469
2021-05-23,62140578
2021-05-24,80711614
2021-05-25,74628656
2021-05-26,85502125
2021-05-27,95594164
2021-05-28,107249343
2021-05-29,103433164
2021-05-30,67222428
2021-05-31,86632438
2021-06-01,83660711
2021-06-02,82758820
2021-06-03,84674016
2021-06-04,89824800
2021-06-05,90048564
2021-06-06,60802386
2021-06-07,76207519
2021-06-08,75291543
2021-06-09,79182288
2021-06-10,84935745
2021-06-11,92904071
2021-06-12,94820285
2021-06-13,62889641
2021-06-14,89113727
2021-06-15,74676555
2021-06-16,80073109
2021-06-17,90924369
2021-06-18,98977502
2021-06-19,101240613
2021-06-20,64481756
2021-06-21,80478458
2021-06-22,74571468
2021-06-23,75824023
2021-06-24,82376957
2021-06-25,88960022
2021-06-26,93862318
2021-06-27,64992758
2021-06-28,76964908
2021-06-29,67050544
2021-06-30,73678150
2021-07-01,80442624
2021-07-02,89826540
2021-07-03,90923918
2021-07-04,62954590
2021-07-05,85714394
2021-07-06,71013168
2021-07-07,73390646
2021-07-08,78631407
2021-07-09,92357423
2021-07-10,96415938
2021-07-11,62775708
2021-07-12,84019802
2021-07-13,79115808
2021-07-14,77582202
2021-07-15,83125140
2021-07-16,95314974
2021-07-17,94069180
2021-07-18,65580098
2021-07-19,92332580
2021-07-20,76442488
2021-07-21,78601316
2021-07-22,87339204
2021-07-23,85829790
2021-07-24,86184458
2021-07-25,58368932
2021-07-26,81119841
2021-07-27,69115280
2021-07-28,75535994
2021-07-29,74707916
2021-07-30,83662410
2021-07-31,79405282
2021-08-01,52280332
2021-08-02,75210596
2021-08-03,66274568
2021-08-04,67638678
2021-08-05,75783216
2021-08-06,82269128
2021-08-07,83052442
2021-08-08,61777432
2021-08-09,75723224
2021-08-10,77374368
2021-08-11,73909834
2021-08-12,84407570
2021-08-13,88216162
2021-08-14,87577218
2021-08-15,60949422
2021-08-16,85327076
2021-08-17,75596262
2021-08-18,76066686
2021-08-19,82708376
2021-08-20,86142738
2021-08-21,91316040
2021-08-22,62854866
2021-08-23,83540794
2021-08-24,71340800
2021-08-25,77607182
2021-08-26,82463866
2021-08-27,90603224
2021-08-28,83745430
2021-08-29,56257518
2021-08-30,81264250
2021-08-31,74712676
2021-09-01,73367262
2021-09-02,75966016
2021-09-03,79731280
2021-09-04,84550902
2021-09-05,56633426
2021-09-06,72996410
2021-09-07,62337206
2021-09-08,63060564
2021-09-09,70198752
2021-09-10,78313940
2021-09-11,82591356
2021-09-12,58207430
2021-09-13,74433196
2021-09-14,66112502
2021-09-15,68529032
2021-09-16,69776896
2021-09-17,80656084
2021-09-18,86546078
2021-09-19,66159512
2021-09-20,85399728
2021-09-21,72908098
2021-09-22,78218462
2021-09-23,82909854
2021-09-24,87950101
2021-09-25,90031712
2021-09-26,63991760
2021-09-27,77369722
2021-09-28,69607050
2021-09-29,80641692
2021-09-30,84512136
2021-10-01,91592470
2021-10-02,95369388
2021-10-03,63518036
2021-10-04,82242128
2021-10-05,67909174
2021-10-06,69607794
2021-10-07,72702534
2021-10-08,81224450
2021-10-09,88070382
2021-10-10,62099228
2021-10-11,79121712
2021-10-12,71632964
2021-10-13,71580358
2021-10-14,77548642
2021-10-15,83434091
2021-10-16,91207008
2021-10-17,66636269
2021-10-18,82638373
2021-10-19,72428597
2021-10-20,78251500
2021-10-21,87717619
2021-10-22,100935321
2021-10-23,107353804
2021-10-24,76490525
2021-10-25,97273292
2021-10-26,86525991
2021-10-27,86201174
2021-10-28,94209654
2021-10-29,103792804
2021-10-30,106113982
2021-10-31,75120982
2021-11-01,97376288
2021-11-02,85354578
2021-11-03,83971394
2021-11-04,88857162
2021-11-05,101238070
2021-11-06,101102108
2021-11-07,75429120
2021-11-08,93609960
2021-11-09,84439626
2021-11-10,113650288
2021-11-11,103434710
2021-11-12,115350853
2021-11-13,118028576
2021-11-14,84899393
2021-11-15,101392728
2021-11-16,99321670
2021-11-17,107279258
2021-11-18,117140855
2021-11-19,135485240
2021-11-20,138937276
2021-11-21,106088026
2021-11-22,129592012
2021-11-23,127682870
2021-11-24,173588440
2021-11-25,185884932
2021-11-26,243672112
2021-11-27,202523864
2021-11-28,149550572
2021-11-29,184519082
2021-11-30,177155588
2021-12-01,174306702
2021-12-02,193146624
2021-12-03,206912241
2021-12-04,206693088
2021-12-05,152878084
2021-12-06,202104660
2021-12-07,190025441
2021-12-08,214299466
2021-12-09,242981478
2021-12-10,284485054
2021-12-11,312769035
2021-12-12,208383129
2021-12-13,291490663
2021-12-14,299753654
2021-12-15,347348066
2021-12-16,433772551
2021-12-17,513282085
2021-12-18,573593618
2021-12-19,432912019
2021-12-20,726210894
2021-12-21,872616710
2021-12-22,1250930768
2021-12-23,1242767004
2021-12-24,458228938
2021-12-25,12688110
2021-12-26,34560854
2021-12-27,162677548
2021-12-28,172414732
2021-12-29,191114871
2021-12-30,231377740
2021-12-31,203777878
2022-01-01,85221376
2022-01-02,104886676
2022-01-03,137320070
2022-01-04,126735246
2022-01-05,120607206
2022-01-06,131105820
2022-01-07,143237406
2022-01-08,151598282
2022-01-09,95688364
2022-01-10,145668510
2022-01-11,95966672
2022-01-12,98728402
2022-01-13,107978562
2022-01-14,117940074
2022-01-15,128332756
2022-01-16,86344618
2022-01-17,98477525
2022-01-18,89396670
2022-01-19,89588202
2022-01-20,97315260
2022-01-21,110354510
2022-01-22,115783904
2022-01-23,78386643
2022-01-24,92899951
2022-01-25,84454058
2022-01-26,85817596
2022-01-27,92964880
2022-01-28,105264577
2022-01-29,106254670
2022-01-30,71742575
2022-01-31,121485267
2022-02-01,79806171
2022-02-02,81066470
2022-02-03,87400136
2022-02-04,92959692
2022-02-05,101217464
2022-02-06,69591068
2022-02-07,120498718
2022-02-08,75655536
2022-02-09,78545598
2022-02-10,90469728
2022-02-11,100493911
2022-02-12,117462754
2022-02-13,84816025
2022-02-14,113810056
2022-02-15,84081071
2022-02-16,87604029
2022-02-17,100872793
2022-02-18,83715485
2022-02-19,117557754
2022-02-20,79988739
2022-02-21,118891018
2022-02-22,89748946
2022-02-23,93529090
2022-02-24,97447008
2022-02-25,110107420
2022-02-26,113064528
2022-02-27,79181084
2022-02-28,110502082
2022-03-01,88476373
2022-03-02,90219736
2022-03-03,96462162
2022-03-04,110045504
2022-03-05,152097899
2022-03-06,84852848
2022-03-07,112348985
2022-03-08,91217925
2022-03-09,123908252
2022-03-10,108048125
2022-03-11,116657873
2022-03-12,118129200
2022-03-13,83930394
2022-03-14,101559295
2022-03-15,87079751
2022-03-16,86366182
2022-03-17,97119276
2022-03-18,102780844
2022-03-19,108036823
2022-03-20,77633499
2022-03-21,98120721
2022-03-22,88196777
2022-03-23,105186243
2022-03-24,135218700
2022-03-25,124274315
2022-03-26,128412027
2022-03-27,72483708
2022-03-28,95821946
2022-03-29,84834079
2022-03-30,83725492
2022-03-31,88952932
2022-04-01,103103206
2022-04-02,107264667
2022-04-03,73850476
2022-04-04,120472632
2022-04-05,86770725
2022-04-06,95231570
2022-04-07,102045143
2022-04-08,115136758
2022-04-09,127954946
2022-04-10,89850592
2022-04-11,122621322
2022-04-12,116221685
2022-04-13,127895785
2022-04-14,153796064
2022-04-15,196097984
2022-04-16,151936571
2022-04-17,38957420
2022-04-18,126925929
2022-04-19,110651252
2022-04-20,103398010
2022-04-21,109978002
2022-04-22,122573492
2022-04-23,125064933
2022-04-24,82656152
2022-04-25,90626238
2022-04-26,99755404
2022-04-27,108603170
2022-04-28,150052301
2022-04-29,123619490
2022-04-30,143506735
2022-05-01,94343836
2022-05-02,114603755
2022-05-03,96585388
2022-05-04,87428022
2022-05-05,83338234
2022-05-06,92718082
2022-05-07,99564558
2022-05-08,66740740
2022-05-09,91068765
